Year,Unemployment rate (%),Vacancy rate (%)
1940.08333333333,0.1052298343,0.0103474079
1940.16666666667,0.1001306473,0.0095222594
1940.25,0.1045636148,0.0093026727
1940.33333333333,0.101649121,0.0094969733
1940.41666666667,0.087067761,0.0097376349
1940.5,0.0911133526,0.0093901568
1940.58333333333,0.0957386594,0.0094710502
1940.66666666667,0.0847139091,0.0111334931
1940.75,0.0931702516,0.0108183295
1940.83333333333,0.0892851581,0.0111572137
1940.91666666667,0.0834062668,0.0120829939
1941,0.0748972305,0.0129167799
1941.08333333333,0.0719056159,0.0137046481
1941.16666666667,0.072366713,0.0141969972
1941.25,0.0743454927,0.015409116
1941.33333333333,0.0660291927,0.0161711461
1941.41666666667,0.0593910827,0.0171511787
1941.5,0.0554206107,0.0177413082
1941.58333333333,0.0573397304,0.0175470775
1941.66666666667,0.054127656,0.017468
1941.75,0.0469247287,0.0167103797
1941.83333333333,0.0443791692,0.017066404
1941.91666666667,0.0416727776,0.0177202642
1942,0.0423034792,0.0181803535
1942.08333333333,0.0408804445,0.0189197973
1942.16666666667,0.0391597258,0.0207698445
1942.25,0.0361897181,0.022915262
1942.33333333333,0.0318192235,0.0237096897
1942.41666666667,0.0302269239,0.023688723
1942.5,0.0294922218,0.0251744705
1942.58333333333,0.0262947267,0.0295381408
1942.66666666667,0.023699361,0.0341988441
1942.75,0.0243084359,0.0361329789
1942.83333333333,0.0243322113,0.0395496711
1942.91666666667,0.0232935283,0.0384791427
1943,0.020141552,0.0405653276
1943.08333333333,0.0205419268,0.0447506336
1943.16666666667,0.0180060651,0.0464962905
1943.25,0.0176320964,0.0470012562
1943.33333333333,0.016988416,0.0477518287
1943.41666666667,0.0197822724,0.0483680569
1943.5,0.020869676,0.0496516809
1943.58333333333,0.0177142192,0.0512907991
1943.66666666667,0.0169116902,0.0495584297
1943.75,0.0161548793,0.049858823
1943.83333333333,0.0140486705,0.0502044373
1943.91666666667,0.0136085359,0.0546284477
1944,0.0136480294,0.0548236883
1944.08333333333,0.0119560269,0.0581947465
1944.16666666667,0.0128891823,0.0580411734
1944.25,0.0123944862,0.0576628712
1944.33333333333,0.0144326399,0.0633186307
1944.41666666667,0.0146321582,0.0637991714
1944.5,0.0143135954,0.0509473395
1944.58333333333,0.0121617297,0.0529695781
1944.66666666667,0.0120334298,0.0549888524
1944.75,0.0091760661,0.0625437074
1944.83333333333,0.0099500442,0.0659708189
1944.91666666667,0.0100126119,0.0690324215
1945,0.0104682126,0.0685267705
1945.08333333333,0.0109193666,0.0668523824
1945.16666666667,0.0105753632,0.0657043495
1945.25,0.0100369945,0.0665182656
1945.33333333333,0.010286561,0.0648605903
1945.41666666667,0.0143370793,0.0656592917
1945.5,0.0149523287,0.0714761957
1945.58333333333,0.014594577,0.062262289
1945.66666666667,0.0327115856,0.0545972206
1945.75,0.0318892823,0.0519149299
1945.83333333333,0.0336451777,0.0513949419
1945.91666666667,0.0371834715,0.0494280705
1946,0.0373800662,0.048752234
1946.08333333333,0.0373218732,0.0447296316
1946.16666666667,0.0397486892,0.0466779809
1946.25,0.0370177583,0.0470628432
1946.33333333333,0.0407808464,0.0418189066
1946.41666666667,0.0389460107,0.046626077
1946.5,0.0348162774,0.048994828
1946.58333333333,0.037338368,0.0457773441
1946.66666666667,0.0405539933,0.0450474445
1946.75,0.0418059604,0.0433318772
1946.83333333333,0.0424498538,0.0422194043
1946.91666666667,0.0458403031,0.0410141028
1947,0.0420811677,0.040493923
1947.08333333333,0.040351959,0.0408738009
1947.16666666667,0.0414518619,0.0395688715
1947.25,0.0478630296,0.0381119662
1947.33333333333,0.0432296134,0.0376894331
1947.41666666667,0.0458318491,0.0364033508
1947.5,0.0468317799,0.0355290038
1947.58333333333,0.0463059633,0.0369689852
1947.66666666667,0.0454538431,0.0425243872
1947.75,0.0455086033,0.0395952404
1947.83333333333,0.04251556,0.0384660656
1947.91666666667,0.0417747698,0.0378843587
1948,0.0338464098510691,0.0356102246
1948.08333333333,0.038464080364814,0.0350398153
1948.16666666667,0.0399367404694523,0.0332727569
1948.25,0.0393229724607347,0.0331644844
1948.33333333333,0.0353164810244781,0.0339944084
1948.41666666667,0.0363206850730843,0.0331820291
1948.5,0.0361713603896635,0.0327927955
1948.58333333333,0.0386475018912607,0.0321546185
1948.66666666667,0.0378525034942037,0.0340525698
1948.75,0.0372489529400125,0.0307225011
1948.83333333333,0.0376429112714573,0.0292446483
1948.91666666667,0.0397096568523272,0.0267498608
1949,0.0427177436606276,0.0253377106
1949.08333333333,0.0466613164747695,0.0222077294
1949.16666666667,0.0496127585021204,0.0223192171
1949.25,0.0534364908944875,0.0213989485
1949.33333333333,0.0605135571915963,0.0210458439
1949.41666666667,0.0619544529763077,0.0204263553
1949.5,0.067062527528099,0.0191236762
1949.58333333333,0.068079233641825,0.018321571
1949.66666666667,0.0656953255561144,0.0175228463
1949.75,0.0790544343491196,0.0165259875
1949.83333333333,0.0644464156116442,0.0162744035
1949.91666666667,0.0656296439878529,0.0163281529
1950,0.0652924863365823,0.0185080336
1950.08333333333,0.0638059882957511,0.0190018158
1950.16666666667,0.0629179923381599,0.0192774418
1950.25,0.0575147205508543,0.0200758039
1950.33333333333,0.055313048660664,0.020560779
1950.41666666667,0.0539419087136929,0.0220554365
1950.5,0.050224561742406,0.023744233
1950.58333333333,0.0447153172726692,0.0266938707
1950.66666666667,0.0444914914433271,0.0263516521
1950.75,0.0420484398026527,0.0280966372
1950.83333333333,0.0415663230902611,0.0286099298
1950.91666666667,0.0425178836115228,0.0293925826
1951,0.037212831565522,0.0373
1951.08333333333,0.0342678623458189,0.0372
1951.16666666667,0.0339858618814573,0.0409
1951.25,0.0310477608076624,0.0405
1951.33333333333,0.0299142544001032,0.0409
1951.41666666667,0.0323784792664124,0.0388
1951.5,0.0313979325669018,0.0385
1951.58333333333,0.031214171524537,0.0388
1951.66666666667,0.0334574295888637,0.0401
1951.75,0.035271043662787,0.0397
1951.83333333333,0.0351211016867159,0.0392
1951.91666666667,0.0313815905342876,0.0385
1952,0.0315863659661712,0.0409
1952.08333333333,0.031352633012384,0.0414
1952.16666666667,0.0293741190194585,0.0401
1952.25,0.0293421905379132,0.0397
1952.33333333333,0.030020303586967,0.0388
1952.41666666667,0.0303366987102072,0.0364
1952.5,0.0321325973984055,0.0348
1952.58333333333,0.0337282027247604,0.0373
1952.66666666667,0.0309973261603984,0.0416
1952.75,0.0296751706443336,0.042
1952.83333333333,0.0278920164503689,0.0436
1952.91666666667,0.0266204627840501,0.0405
1953,0.0289884771197528,0.0418
1953.08333333333,0.0257556675062972,0.0434
1953.16666666667,0.0258730383147179,0.0444
1953.25,0.0272769009134516,0.0414
1953.33333333333,0.0254891000558971,0.0412
1953.41666666667,0.0254824540538826,0.0383
1953.5,0.0263253881408884,0.0353
1953.58333333333,0.0265059857361182,0.0346
1953.66666666667,0.0290305610024391,0.0338
1953.75,0.0313996214230041,0.0305
1953.83333333333,0.0351236715436306,0.0275
1953.91666666667,0.0448761844095868,0.0233
1954,0.0487630940872569,0.0237
1954.08333333333,0.0520517548520174,0.0224
1954.16666666667,0.0565422538523035,0.0216
1954.25,0.0586385960521788,0.0209
1954.33333333333,0.0591597958382411,0.0205
1954.41666666667,0.0560598645469902,0.0205
1954.5,0.0578022811285583,0.0202
1954.58333333333,0.0604957069081891,0.0198
1954.66666666667,0.0611596505162828,0.0192
1954.75,0.0573385885885886,0.0198
1954.83333333333,0.0533571731049734,0.0214
1954.91666666667,0.0504801617386909,0.0211
1955,0.0493975903614458,0.0238
1955.08333333333,0.0466120321527254,0.0238
1955.16666666667,0.0456779687548918,0.0264
1955.25,0.0472244594510873,0.027
1955.33333333333,0.0426678678492102,0.0288
1955.41666666667,0.0418876585713843,0.0285
1955.5,0.040402179752859,0.0307
1955.58333333333,0.0424513197419984,0.0318
1955.66666666667,0.0408057536417383,0.0314
1955.75,0.0429953966059464,0.0331
1955.83333333333,0.0420976119448188,0.0336
1955.91666666667,0.0415531642712017,0.0316
1956,0.0401391168189825,0.0353
1956.08333333333,0.039410803944105,0.0353
1956.16666666667,0.041768039289762,0.0327
1956.25,0.0399915489556924,0.0329
1956.33333333333,0.0428794100896256,0.0333
1956.41666666667,0.0432071002368745,0.0329
1956.5,0.0442233940556088,0.0314
1956.58333333333,0.0405111514406131,0.0312
1956.66666666667,0.0394969571604161,0.0312
1956.75,0.0386349292218916,0.0324
1956.83333333333,0.0429212235774187,0.032
1956.91666666667,0.0418290854572714,0.0309
1957,0.0420906846510508,0.0329
1957.08333333333,0.0392051316556767,0.0307
1957.16666666667,0.0374964506149777,0.0305
1957.25,0.0390115083949765,0.0283
1957.33333333333,0.0406327310892871,0.0288
1957.41666666667,0.0425938077909682,0.0283
1957.5,0.0415231079957229,0.0283
1957.58333333333,0.0411807033850028,0.0261
1957.66666666667,0.0438834546105213,0.0251
1957.75,0.0450302686905436,0.022
1957.83333333333,0.0514577715537148,0.0207
1957.91666666667,0.051574230689338,0.0198
1958,0.0577539309933676,0.0198
1958.08333333333,0.0640317852412911,0.0181
1958.16666666667,0.0668223673445101,0.0172
1958.25,0.0741496296953302,0.0163
1958.33333333333,0.0739524265409824,0.0166
1958.41666666667,0.0730561219966309,0.0177
1958.5,0.0748849964614296,0.0185
1958.58333333333,0.0738568719961198,0.0185
1958.66666666667,0.0708949736772448,0.0177
1958.75,0.0671614372841502,0.0187
1958.83333333333,0.0618995536374117,0.02
1958.91666666667,0.0618689105403012,0.0196
1959,0.0598798869524258,0.0214
1959.08333333333,0.0586113615870153,0.0226
1959.16666666667,0.0558412176059235,0.024
1959.25,0.0522542033099694,0.025
1959.33333333333,0.0510281909120244,0.0261
1959.41666666667,0.0502211546911157,0.027
1959.5,0.0514743430747458,0.027
1959.58333333333,0.0524316109422492,0.0257
1959.66666666667,0.0550733095047049,0.0251
1959.75,0.0568140538498423,0.0242
1959.83333333333,0.0584098171683714,0.0253
1959.91666666667,0.0529466330405543,0.024
1960,0.0524201734288449,0.0307
1960.08333333333,0.0482820635542212,0.0307
1960.16666666667,0.0544744806210617,0.0296
1960.25,0.0520271921125627,0.0285
1960.33333333333,0.0512595869359147,0.0281
1960.41666666667,0.0538507735865244,0.0274
1960.5,0.0550003584486343,0.0264
1960.58333333333,0.0564997637490872,0.0261
1960.66666666667,0.0553662813074653,0.025
1960.75,0.0608436838188999,0.024
1960.83333333333,0.0614716279333892,0.0235
1960.91666666667,0.065587044534413,0.0224
1961,0.0663051655854756,0.0224
1961.08333333333,0.0686168702073275,0.022
1961.16666666667,0.0686392373732373,0.0224
1961.25,0.0696343945237451,0.0226
1961.33333333333,0.071012888207574,0.0235
1961.41666666667,0.0689212449561218,0.0237
1961.5,0.0698650334580923,0.0244
1961.58333333333,0.0663793347888961,0.0253
1961.66666666667,0.0665935599641113,0.0259
1961.75,0.0648726096578335,0.0272
1961.83333333333,0.0610293281800614,0.0281
1961.91666666667,0.0596058621230932,0.0279
1962,0.0581430138625711,0.0292
1962.08333333333,0.0549787669190018,0.0287
1962.16666666667,0.0556849490158207,0.0287
1962.25,0.0555792708955861,0.0287
1962.33333333333,0.0547547164462587,0.0296
1962.41666666667,0.0545139972204101,0.0287
1962.5,0.054322778868311,0.0287
1962.58333333333,0.0565362561812316,0.0279
1962.66666666667,0.0556687701151041,0.0274
1962.75,0.0536260699127149,0.027
1962.83333333333,0.0567792185802373,0.027
1962.91666666667,0.0551415586981681,0.027
